OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Fluoride","Dissolved","0.60","mg/l",,"Historical",,"Actual",,,,,,,"00950",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Silica","Dissolved","21.0","mg/l",,"Historical",,"Actual",,,,,,,"00955",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sulfate","Dissolved","41.0","mg/l",,"Historical",,"Actual",,,,,,,"00945",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","256","mg/l",,"Historical",,"Actual",,,,,,,"70301",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","0.35","tons/ac ft",,"Historical",,"Actual",,,,,,,"70303",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Inorganic nitrogen (nitrate and nitrite)","Dissolved","0.860","mg/l as N",,"Historical",,"Actual",,,,,,,"00631",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Phosphate","Dissolved","0.250","mg/l",,"Historical",,"Actual",,,,,,,"00660",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hydrogen ion","Total","0.00002","mg/l",,"Historical",,"Actual",,,,,,,"00191",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Boron","Dissolved","60","ug/l",,"Historical",,"Actual",,,,,,,"01020",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, mean. daily",,"135","ft3/s",,"Historical","Mean","Actual",,"1 Day",,,,,"00060",,,,,,,,,,,,,,,,
